Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Layers,Heads,Embed_Dim,LR,Final_CE,Final_KL
ICL-Markov_V3_O2,L1_H1_D16_attention-only_LR0.0001,ICL-Markov,3,2,attention-only,1,1,16,0.0001,1.063185,0.244824
ICL-Markov_V3_O2,L1_H1_D16_attention-only_LR0.0005,ICL-Markov,3,2,attention-only,1,1,16,0.0005,1.055100,0.246591
ICL-Markov_V3_O2,L1_H2_D16_attention-only_LR3e-05,ICL-Markov,3,2,attention-only,1,2,16,3e-05,1.057114,0.250174
ICL-Markov_V3_O2,L1_H2_D16_attention-only_LR0.0001,ICL-Markov,3,2,attention-only,1,2,16,0.0001,1.056668,0.241245
ICL-Markov_V3_O2,L1_H2_D16_attention-only_LR0.0005,ICL-Markov,3,2,attention-only,1,2,16,0.0005,1.052301,0.240846
ICL-Markov_V3_O2,L1_H1_D16_standard_LR3e-05,ICL-Markov,3,2,standard,1,1,16,3e-05,1.060414,0.249138
ICL-Markov_V3_O2,L1_H1_D16_standard_LR0.0001,ICL-Markov,3,2,standard,1,1,16,0.0001,1.058756,0.242635
ICL-Markov_V3_O2,L1_H1_D16_standard_LR0.0005,ICL-Markov,3,2,standard,1,1,16,0.0005,1.052576,0.235940
ICL-Markov_V3_O2,L1_H2_D16_standard_LR3e-05,ICL-Markov,3,2,standard,1,2,16,3e-05,1.057161,0.246553
ICL-Markov_V3_O2,L1_H2_D16_standard_LR0.0001,ICL-Markov,3,2,standard,1,2,16,0.0001,1.053268,0.245754
ICL-Markov_V3_O2,L1_H2_D16_standard_LR0.0005,ICL-Markov,3,2,standard,1,2,16,0.0005,1.050330,0.243290
ICL-Markov_V3_O2,L1_H1_D16_linear_LR3e-05,ICL-Markov,3,2,linear,1,1,16,3e-05,1.062562,0.247295
ICL-Markov_V3_O2,L1_H1_D16_linear_LR0.0001,ICL-Markov,3,2,linear,1,1,16,0.0001,1.061170,0.239655
ICL-Markov_V3_O2,L1_H1_D16_linear_LR0.0005,ICL-Markov,3,2,linear,1,1,16,0.0005,1.061169,0.250394
ICL-Markov_V3_O2,L1_H2_D16_linear_LR3e-05,ICL-Markov,3,2,linear,1,2,16,3e-05,1.054568,0.246451
ICL-Markov_V3_O2,L1_H2_D16_linear_LR0.0001,ICL-Markov,3,2,linear,1,2,16,0.0001,1.057378,0.242924
ICL-Markov_V3_O2,L1_H2_D16_linear_LR0.0005,ICL-Markov,3,2,linear,1,2,16,0.0005,1.059751,0.252062
ICL-Markov_V2_O1,L2_H1_D16_attention-only_LR3e-05,ICL-Markov,2,1,attention-only,2,1,16,3e-05,0.537179,0.123848
ICL-Markov_V2_O1,L2_H1_D16_attention-only_LR0.0001,ICL-Markov,2,1,attention-only,2,1,16,0.0001,0.548141,0.128937
ICL-Markov_V2_O1,L2_H1_D16_attention-only_LR0.0005,ICL-Markov,2,1,attention-only,2,1,16,0.0005,0.504128,0.223390
ICL-Markov_V2_O1,L2_H2_D16_attention-only_LR3e-05,ICL-Markov,2,1,attention-only,2,2,16,3e-05,0.560358,0.119705
ICL-Markov_V2_O1,L2_H2_D16_attention-only_LR0.0001,ICL-Markov,2,1,attention-only,2,2,16,0.0001,0.541401,0.127925
ICL-Markov_V2_O1,L2_H2_D16_attention-only_LR0.0005,ICL-Markov,2,1,attention-only,2,2,16,0.0005,0.509177,0.192729
ICL-Markov_V2_O1,L2_H1_D16_standard_LR3e-05,ICL-Markov,2,1,standard,2,1,16,3e-05,0.561380,0.119219
ICL-Markov_V2_O1,L2_H1_D16_standard_LR0.0001,ICL-Markov,2,1,standard,2,1,16,0.0001,0.504417,0.163848
ICL-Markov_V2_O1,L2_H1_D16_standard_LR0.0005,ICL-Markov,2,1,standard,2,1,16,0.0005,0.504027,0.202760
ICL-Markov_V2_O1,L2_H2_D16_standard_LR3e-05,ICL-Markov,2,1,standard,2,2,16,3e-05,0.551569,0.114809
ICL-Markov_V2_O1,L2_H2_D16_standard_LR0.0001,ICL-Markov,2,1,standard,2,2,16,0.0001,0.508720,0.170390
ICL-Markov_V2_O1,L2_H2_D16_standard_LR0.0005,ICL-Markov,2,1,standard,2,2,16,0.0005,0.492618,0.197023
ICL-Markov_V2_O1,L2_H1_D16_linear_LR3e-05,ICL-Markov,2,1,linear,2,1,16,3e-05,0.564819,0.115770
ICL-Markov_V2_O1,L2_H1_D16_linear_LR0.0001,ICL-Markov,2,1,linear,2,1,16,0.0001,0.549509,0.134191
ICL-Markov_V2_O1,L2_H1_D16_linear_LR0.0005,ICL-Markov,2,1,linear,2,1,16,0.0005,0.548247,0.136863
ICL-Markov_V2_O1,L2_H2_D16_linear_LR3e-05,ICL-Markov,2,1,linear,2,2,16,3e-05,0.551908,0.134800
ICL-Markov_V2_O1,L2_H2_D16_linear_LR0.0001,ICL-Markov,2,1,linear,2,2,16,0.0001,0.548205,0.135435
ICL-Markov_V2_O1,L2_H2_D16_linear_LR0.0005,ICL-Markov,2,1,linear,2,2,16,0.0005,0.524260,0.167069
