Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
ICL-Markov_V3_O1,L2_H1_D16_linear_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,linear,False,absolute,False,2,1,16,0.0001,0.988402,0.994906,0.988402,0.171892
ICL-Markov_V3_O1,L2_H2_D16_linear_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,linear,False,absolute,False,2,2,16,0.0001,0.987315,0.991381,0.987315,0.172375
ICL-Markov_V3_O1,L2_H1_D16_linear_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,linear,False,rope,True,2,1,16,0.0001,0.983370,0.983487,0.983370,0.161893
ICL-Markov_V3_O1,L2_H2_D16_linear_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,linear,False,rope,True,2,2,16,0.0001,0.966490,0.973234,0.966490,0.159159
ICL-Markov_V3_O1,L2_H1_D16_linear_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,linear,False,rope,False,2,1,16,0.0001,0.990774,0.994526,0.990774,0.179731
ICL-Markov_V3_O1,L2_H2_D16_linear_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,linear,False,rope,False,2,2,16,0.0001,0.994941,0.994830,0.994941,0.182533
ICL-Markov_V3_O1,L1_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,performer,True,absolute,True,1,1,16,0.0001,0.980871,0.975895,0.980871,0.157447
ICL-Markov_V3_O1,L1_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,performer,True,absolute,True,1,2,16,0.0001,0.982532,0.984573,0.982532,0.158731
ICL-Markov_V3_O1,L1_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,performer,True,absolute,False,1,1,16,0.0001,1.003303,0.988667,1.003303,0.171949
ICL-Markov_V3_O1,L1_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,performer,True,absolute,False,1,2,16,0.0001,0.991173,0.981674,0.991173,0.167694
