Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V2_O2,L2_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,linear,True,absolute,False,2,1,16,0.0001,0.546916,0.544495,0.546916,0.278949
HMM_V2_O2,L2_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,linear,True,absolute,False,2,2,16,0.0001,0.426586,0.429627,0.426586,0.168370
HMM_V2_O2,L2_H1_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,linear,True,rope,True,2,1,16,0.0001,0.719147,0.719013,0.719146,0.139652
HMM_V2_O2,L2_H2_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,linear,True,rope,True,2,2,16,0.0001,1.261494,1.255377,1.261494,1.141536
HMM_V2_O2,L2_H1_D16_linear_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,linear,True,rope,False,2,1,16,0.0001,0.659099,0.659238,0.659099,0.135824
HMM_V2_O2,L2_H2_D16_linear_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,linear,True,rope,False,2,2,16,0.0001,0.434353,0.432428,0.434353,0.090810
HMM_V2_O2,L2_H1_D16_linear_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,linear,False,absolute,True,2,1,16,0.0001,0.808258,0.809331,0.808258,0.241292
HMM_V2_O2,L2_H2_D16_linear_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,linear,False,absolute,True,2,2,16,0.0001,0.981319,0.988603,0.981319,0.398992
HMM_V2_O2,L2_H1_D16_linear_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,linear,False,absolute,False,2,1,16,0.0001,1.408941,1.403128,1.408941,1.163687
HMM_V2_O2,L2_H2_D16_linear_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,linear,False,absolute,False,2,2,16,0.0001,0.885325,0.883800,0.885325,0.369699
HMM_V2_O2,L2_H1_D16_linear_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,linear,False,rope,True,2,1,16,0.0001,0.673450,0.672092,0.673450,0.024729
HMM_V2_O2,L2_H2_D16_linear_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,linear,False,rope,True,2,2,16,0.0001,0.472103,0.469912,0.472103,0.031892
HMM_V2_O2,L2_H1_D16_linear_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,linear,False,rope,False,2,1,16,0.0001,0.550527,0.554690,0.550527,0.024436
HMM_V2_O2,L2_H2_D16_linear_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,linear,False,rope,False,2,2,16,0.0001,0.686225,0.685326,0.686225,0.015039
HMM_V2_O2,L1_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,performer,True,absolute,True,1,1,16,0.0001,0.660093,0.659203,0.660093,0.044934
