Dataset_Setting,Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V3_O1,performer,1,1,rope,True,True,0.0005,0.98759,0.98478,0.98759,0.10432
HMM_V3_O1,performer,1,2,rope,True,False,0.0005,1.18951,1.18565,1.18951,0.10803
HMM_V3_O1,performer,1,2,absolute,True,False,3e-05,1.12602,1.13066,1.12602,0.11192
HMM_V3_O1,performer,2,2,absolute,False,True,0.0005,1.16884,1.17195,1.16884,0.11239
HMM_V3_O1,performer,2,2,absolute,True,False,0.0001,1.0038,1.00633,1.0038,0.11894
HMM_V3_O1,performer,1,1,rope,True,True,3e-05,1.1375,1.14393,1.1375,0.12054
HMM_V3_O1,performer,2,1,rope,False,True,0.0001,0.87461,0.87372,0.87461,0.12488
HMM_V3_O1,performer,1,2,absolute,True,True,0.0005,1.04695,1.04603,1.04695,0.1272
HMM_V3_O1,performer,1,1,rope,True,False,3e-05,1.11639,1.1115,1.11639,0.13128
HMM_V3_O1,performer,2,2,rope,False,True,0.0001,1.17217,1.16905,1.17217,0.13435
HMM_V3_O1,performer,2,2,absolute,False,False,0.0005,1.08124,1.06316,1.08124,0.13448
HMM_V3_O1,performer,1,2,absolute,False,True,0.0001,1.08612,1.08803,1.08612,0.16726
HMM_V3_O1,performer,2,2,absolute,True,True,3e-05,1.17432,1.17663,1.17432,0.16992
HMM_V3_O1,performer,1,1,absolute,False,True,0.0005,1.20519,1.19875,1.20519,0.17032
HMM_V3_O1,performer,2,2,absolute,False,False,0.0001,1.108,1.0918,1.108,0.17287
HMM_V3_O1,performer,1,1,absolute,True,True,0.0001,1.26053,1.24942,1.26053,0.18265
HMM_V3_O1,performer,2,1,absolute,True,False,3e-05,1.14156,1.14298,1.14156,0.1857
HMM_V3_O1,performer,2,1,absolute,False,True,0.0001,1.19537,1.19365,1.19537,0.18776
HMM_V3_O1,performer,1,1,rope,False,False,3e-05,1.23833,1.25664,1.23833,0.19313
HMM_V3_O1,performer,2,1,rope,False,False,3e-05,1.16396,1.16953,1.16396,0.20714
HMM_V3_O1,performer,2,1,rope,True,False,3e-05,0.47747,0.47726,0.47747,0.20961
HMM_V3_O1,performer,1,2,absolute,True,True,0.0001,1.24529,1.2355,1.24529,0.21136
HMM_V3_O1,performer,1,1,rope,False,False,0.0005,1.16189,1.152,1.16189,0.23973
HMM_V3_O1,performer,1,1,absolute,True,True,3e-05,1.19432,1.19598,1.19432,0.25107
HMM_V3_O1,performer,1,1,absolute,True,False,0.0005,1.14537,1.14466,1.14537,0.25382
HMM_V3_O1,performer,2,2,rope,True,False,3e-05,1.17755,1.18272,1.17755,0.25411
HMM_V3_O1,performer,1,2,absolute,False,True,0.0005,1.14559,1.14423,1.14559,0.2557
HMM_V3_O1,performer,1,2,absolute,False,True,3e-05,1.19186,1.20039,1.19186,0.26117
HMM_V3_O1,performer,1,2,rope,True,True,0.0005,1.18809,1.18873,1.18809,0.26825
HMM_V3_O1,performer,1,1,absolute,False,False,0.0005,1.17104,1.18247,1.17104,0.275
HMM_V3_O1,performer,2,2,rope,True,True,0.0005,1.12748,1.11853,1.12748,0.28687
HMM_V3_O1,performer,1,1,rope,False,False,0.0001,1.16898,1.17013,1.16898,0.2897
HMM_V3_O1,performer,1,2,rope,False,False,0.0005,1.28047,1.30893,1.28047,0.29273
HMM_V3_O1,performer,1,2,absolute,False,False,0.0001,1.14642,1.14733,1.14642,0.29849
HMM_V3_O1,performer,2,2,rope,False,False,0.0001,1.38994,1.37574,1.38994,0.30053
HMM_V3_O1,performer,2,1,rope,True,True,0.0001,1.15047,1.14945,1.15047,0.3061
HMM_V3_O1,performer,2,1,absolute,False,True,3e-05,1.36789,1.36537,1.36789,0.31158
HMM_V3_O1,performer,1,1,absolute,False,False,0.0001,1.17078,1.17299,1.17078,0.31531
HMM_V3_O1,performer,1,1,rope,True,True,0.0001,1.3075,1.3224,1.3075,0.32457
HMM_V3_O1,performer,2,1,absolute,False,True,0.0005,1.17657,1.17946,1.17657,0.32656
HMM_V3_O1,performer,2,2,rope,True,True,0.0001,0.93007,0.93204,0.93007,0.34241
HMM_V3_O1,performer,1,2,rope,False,True,3e-05,1.39051,1.39648,1.39051,0.34483
HMM_V3_O1,performer,1,1,rope,True,False,0.0001,1.28477,1.29081,1.28477,0.36167
HMM_V3_O1,performer,1,2,absolute,True,True,3e-05,1.26421,1.26757,1.26421,0.36761
HMM_V3_O1,performer,2,1,rope,True,False,0.0001,1.1111,1.10847,1.1111,0.38538
