Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
performer,1,2,rope,True,False,0.0001,0.55442,0.55946,0.55442,0.08094
performer,2,1,rope,False,False,3e-05,0.55538,0.55857,0.55538,0.08155
performer,1,2,rope,False,False,0.0001,0.56174,0.56362,0.56174,0.08256
performer,1,1,rope,False,False,0.0005,0.56206,0.55879,0.56206,0.08374
performer,2,2,absolute,False,True,3e-05,0.55311,0.56061,0.55311,0.08377
performer,2,1,rope,False,True,0.0001,0.57763,0.56637,0.57763,0.08411
performer,2,2,rope,False,True,3e-05,0.55686,0.56422,0.55685,0.0847
performer,1,1,absolute,False,False,3e-05,0.57912,0.56472,0.57912,0.08547
performer,2,1,absolute,False,True,3e-05,0.56688,0.56793,0.56688,0.08547
performer,1,1,rope,False,True,0.0001,0.57822,0.57165,0.57822,0.08677
performer,1,2,rope,False,False,3e-05,0.56725,0.57196,0.56725,0.08724
performer,2,1,rope,False,True,3e-05,0.55842,0.56551,0.55842,0.0873
performer,1,2,absolute,False,True,3e-05,0.57134,0.56904,0.57134,0.08809
performer,1,2,absolute,False,False,3e-05,0.57077,0.57055,0.57077,0.0887
performer,1,2,rope,False,True,0.0005,0.56448,0.56819,0.56448,0.0888
performer,1,1,absolute,False,True,3e-05,0.56639,0.56776,0.56639,0.08969
performer,1,1,rope,False,False,3e-05,0.5627,0.56701,0.5627,0.08981
performer,1,1,rope,False,False,0.0001,0.56362,0.56592,0.56362,0.09068
performer,1,2,rope,False,True,3e-05,0.57052,0.56842,0.57052,0.091
performer,2,1,absolute,False,False,3e-05,0.56624,0.57201,0.56624,0.09226
performer,1,1,rope,False,True,3e-05,0.58372,0.57429,0.58372,0.09243
performer,2,2,rope,False,False,3e-05,0.57238,0.57472,0.57238,0.09527
standard,2,2,rpe,True,False,0.0005,0.4975,0.49204,0.4975,0.01304
standard,2,1,rope,True,False,0.0005,0.48596,0.4934,0.48596,0.01431
standard,2,2,rpe,True,True,0.0005,0.50562,0.49801,0.50562,0.01624
standard,2,1,rpe,True,False,0.0001,0.50434,0.49368,0.50434,0.01659
standard,2,1,rpe,True,False,0.0005,0.49248,0.49722,0.49248,0.01691
standard,2,2,rope,True,True,0.0005,0.51797,0.50282,0.51797,0.01842
standard,2,1,absolute,True,False,0.0005,0.50214,0.50126,0.50214,0.01901
standard,2,2,rope,True,False,0.0005,0.52559,0.50198,0.52559,0.01938
standard,2,1,rpe,True,True,0.0005,0.50538,0.49278,0.50538,0.01997
standard,2,1,rope,True,True,0.0005,0.50036,0.50349,0.50036,0.02062
standard,2,2,absolute,True,False,0.0005,0.50805,0.50015,0.50805,0.02212
standard,2,2,rpe,True,False,0.0001,0.48588,0.49612,0.48588,0.02267
standard,2,2,rpe,False,True,0.0005,0.50303,0.50563,0.50303,0.02408
standard,2,1,rope,True,False,0.0001,0.50898,0.51304,0.50898,0.03039
standard,2,2,absolute,True,True,0.0005,0.51092,0.5199,0.51092,0.03619
standard,2,1,rope,True,True,0.0001,0.51557,0.51915,0.51557,0.03772
standard,2,2,rope,False,False,0.0005,0.51583,0.51315,0.51583,0.03833
standard,2,2,rope,True,False,0.0001,0.52195,0.5199,0.52195,0.0408
standard,2,2,rope,True,True,0.0001,0.52354,0.52396,0.52354,0.04404
standard,2,2,absolute,True,False,0.0001,0.53109,0.53009,0.53109,0.04607
standard,2,2,absolute,False,True,0.0005,0.53422,0.52857,0.53422,0.0474
standard,2,2,rpe,False,False,0.0005,0.53328,0.52921,0.53328,0.04812
standard,2,2,rope,False,True,0.0005,0.53771,0.53809,0.53771,0.0499
standard,2,1,absolute,True,True,0.0005,0.53643,0.53799,0.53643,0.05111
standard,2,1,absolute,True,False,0.0001,0.55048,0.54259,0.55048,0.05696
standard,2,2,absolute,False,True,0.0001,0.53566,0.53812,0.53566,0.06016
standard,2,1,rope,False,True,0.0005,0.54264,0.54516,0.54264,0.0602
standard,1,2,rope,False,False,0.0005,0.53064,0.54251,0.53064,0.06052
standard,2,2,absolute,True,True,0.0001,0.53071,0.53969,0.53071,0.06153
standard,1,2,rpe,True,False,0.0005,0.53285,0.5436,0.53285,0.06199
standard,2,2,rpe,True,True,0.0001,0.55406,0.54762,0.55406,0.0626
standard,2,1,rope,False,False,0.0005,0.55269,0.54452,0.55269,0.06292
standard,1,2,rpe,False,False,0.0005,0.55566,0.543,0.55566,0.06332
standard,2,1,absolute,True,True,0.0001,0.5377,0.53867,0.5377,0.0637
standard,2,2,rpe,False,True,0.0001,0.55123,0.54392,0.55123,0.06386
standard,2,1,rpe,False,False,0.0005,0.54985,0.54775,0.54985,0.06555
standard,1,2,rpe,False,True,0.0005,0.54037,0.54374,0.54037,0.06561
standard,2,2,absolute,False,False,0.0001,0.55297,0.54329,0.55297,0.06585
standard,1,2,rpe,True,True,0.0005,0.5482,0.54779,0.5482,0.06714
standard,1,2,rope,False,True,0.0005,0.53309,0.54719,0.53309,0.06748
standard,2,1,rpe,False,True,0.0005,0.54922,0.55159,0.54922,0.06931
standard,2,2,rope,False,True,0.0001,0.55009,0.54804,0.55009,0.06981
standard,1,1,rpe,True,False,0.0005,0.5527,0.55127,0.5527,0.07098
standard,1,2,absolute,False,True,0.0005,0.54581,0.54488,0.54581,0.07122
standard,2,2,rope,False,False,0.0001,0.54714,0.55206,0.54714,0.07144
standard,1,2,rope,True,False,0.0005,0.55296,0.55367,0.55296,0.07165
standard,2,1,rpe,False,False,0.0001,0.55386,0.55062,0.55386,0.07211
standard,2,1,rope,False,False,0.0001,0.56513,0.55691,0.56513,0.07223
standard,2,2,rope,True,False,3e-05,0.56702,0.56174,0.56702,0.07233
standard,1,1,absolute,True,True,3e-05,0.56422,0.55564,0.56422,0.07236
standard,1,1,absolute,False,False,0.0005,0.5624,0.5563,0.5624,0.07243
standard,2,2,rpe,True,True,3e-05,0.54807,0.55559,0.54807,0.07275
standard,1,1,absolute,True,False,0.0001,0.55075,0.55463,0.55075,0.07281
standard,2,1,rpe,True,True,0.0001,0.55906,0.54883,0.55906,0.07297
standard,1,2,absolute,True,False,0.0005,0.56478,0.55249,0.56478,0.07303
standard,1,2,rope,True,True,0.0005,0.54895,0.55651,0.54895,0.07315
standard,1,1,rpe,True,True,0.0005,0.55173,0.55338,0.55173,0.0735
standard,1,1,rpe,True,False,0.0001,0.55891,0.55914,0.55891,0.0736
standard,2,1,absolute,True,False,3e-05,0.5541,0.55417,0.5541,0.07382
standard,1,2,absolute,False,False,0.0005,0.54812,0.55384,0.54812,0.07385
standard,2,1,absolute,False,False,0.0001,0.55022,0.55591,0.55022,0.0739
standard,2,1,rope,True,False,3e-05,0.54304,0.55273,0.54304,0.07391
standard,1,1,absolute,True,False,0.0005,0.56541,0.55326,0.56541,0.07403
standard,1,1,rpe,False,False,0.0005,0.55705,0.55305,0.55705,0.07428
standard,1,1,rope,True,True,0.0001,0.5598,0.55954,0.5598,0.0743
standard,2,2,rope,True,True,3e-05,0.55481,0.55546,0.55481,0.07435
standard,1,2,absolute,True,True,3e-05,0.55359,0.55237,0.55359,0.07443
standard,1,1,absolute,False,True,0.0005,0.56144,0.55969,0.56144,0.07443
standard,1,1,rpe,True,False,3e-05,0.56022,0.55771,0.56022,0.07455
standard,1,2,rpe,False,False,0.0001,0.56281,0.5598,0.56281,0.07472
standard,1,1,rpe,True,True,0.0001,0.55644,0.56132,0.55644,0.07478
standard,1,1,absolute,True,True,0.0005,0.55455,0.55602,0.55455,0.07486
standard,2,1,rope,True,True,3e-05,0.53987,0.55182,0.53987,0.07494
standard,1,2,absolute,False,False,0.0001,0.54923,0.55551,0.54923,0.0751
standard,1,2,absolute,True,True,0.0001,0.55851,0.55395,0.55851,0.0751
standard,1,1,absolute,True,False,3e-05,0.54936,0.55608,0.54936,0.07526
standard,1,1,rope,True,True,3e-05,0.5505,0.55713,0.5505,0.07527
standard,1,1,absolute,True,True,0.0001,0.5491,0.55849,0.5491,0.07528
standard,2,2,absolute,True,False,3e-05,0.55304,0.55527,0.55304,0.07535
standard,1,1,rpe,False,True,0.0005,0.5525,0.55201,0.5525,0.0754
standard,2,1,rpe,True,False,3e-05,0.56076,0.55613,0.56076,0.07544
standard,1,1,rope,True,False,0.0001,0.54786,0.55251,0.54786,0.07575
standard,1,2,absolute,False,True,0.0001,0.55045,0.55391,0.55045,0.07581
standard,2,2,rpe,True,False,3e-05,0.55736,0.55882,0.55736,0.0762
standard,2,2,absolute,True,True,3e-05,0.56406,0.55953,0.56406,0.07658
standard,1,2,absolute,True,False,3e-05,0.54429,0.5507,0.54429,0.07668
standard,1,1,absolute,False,False,0.0001,0.56574,0.5639,0.56574,0.07682
standard,1,2,rope,True,True,0.0001,0.54352,0.55786,0.54352,0.07693
standard,1,1,rope,True,False,0.0005,0.55642,0.55447,0.55642,0.07706
