Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
performer,1,1,rope,False,False,3e-05,1.38246,1.37589,1.38246,0.42463
performer,2,1,absolute,True,True,3e-05,1.12759,1.12291,1.12759,0.42956
performer,1,2,rope,False,False,0.0005,1.33806,1.34273,1.33806,0.43141
performer,1,1,rope,False,False,0.0001,1.30515,1.2914,1.30515,0.43807
performer,1,1,rope,False,False,0.0005,1.19776,1.18685,1.19776,0.4402
performer,2,1,absolute,False,True,0.0005,1.18514,1.17949,1.18514,0.44542
performer,2,1,rope,True,True,3e-05,1.1633,1.17187,1.1633,0.44613
performer,2,1,rope,False,False,3e-05,1.22146,1.22117,1.22146,0.451
performer,1,2,absolute,True,True,3e-05,1.37657,1.41153,1.37657,0.45826
performer,2,1,rope,False,True,0.0001,1.34214,1.35352,1.34214,0.459
performer,1,2,rope,True,True,0.0005,1.22661,1.22842,1.22661,0.46597
performer,1,1,absolute,True,True,0.0005,1.54196,1.55415,1.54196,0.48419
performer,2,2,absolute,False,True,0.0005,1.42318,1.42555,1.42318,0.48683
performer,2,1,absolute,True,True,0.0005,1.36823,1.36565,1.36823,0.51027
performer,1,2,absolute,False,False,0.0001,1.5506,1.51406,1.5506,0.51962
performer,2,1,rope,False,True,0.0005,1.31383,1.30695,1.31383,0.51975
performer,2,2,absolute,False,False,0.0001,1.29,1.29038,1.29,0.53324
performer,2,2,absolute,False,False,0.0005,1.19656,1.19947,1.19656,0.55567
performer,1,1,rope,True,False,0.0001,1.37056,1.34936,1.37056,0.58943
performer,1,1,rope,True,True,0.0001,1.44191,1.43201,1.44191,0.59904
performer,2,1,absolute,False,False,0.0001,1.21664,1.22271,1.21664,0.61001
performer,2,1,rope,True,False,0.0005,1.4977,1.49761,1.4977,0.62805
performer,1,1,absolute,True,True,3e-05,1.56497,1.58211,1.56497,0.63347
performer,1,2,rope,False,True,0.0005,1.48358,1.47368,1.48358,0.65497
performer,1,2,rope,True,False,0.0001,1.45129,1.43602,1.45129,0.65879
performer,2,2,rope,True,True,0.0005,1.60305,1.60134,1.60305,0.67227
performer,1,1,absolute,False,False,3e-05,1.61,1.62936,1.61,0.69443
performer,2,2,absolute,True,True,0.0005,1.41101,1.41268,1.41101,0.69677
performer,1,1,rope,False,True,0.0001,1.47484,1.4796,1.47484,0.69866
performer,1,2,rope,True,False,0.0005,1.54023,1.53927,1.54023,0.70575
performer,1,2,rope,False,True,3e-05,1.4951,1.48643,1.4951,0.708
performer,1,1,absolute,False,True,0.0001,1.67341,1.67269,1.67341,0.70974
